ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,indegree,outdegree
10,7,2014-01-16,H St NE and Martin Luther King Blvd Ardmore Oklahoma,1.2518599757979068,2,4,Ardmore,Oklahoma,-97.1177499,34.1763148,,,,,,,,,,,,,,,1.0986122886681098,1.6094379124341005,0,7
11,8,2014-01-20,8509 Rixlew Ln Manassas Virginia,0.4828313737302301,0,4,Manassas,Virginia,-77.5018772,38.7724416,,,,,,,,,,,,,,,0.0,1.6094379124341005,6,0
12,9,2014-01-21,Springfield Avenue  Newark New Jersey,1.184916910403644,2,3,Newark,New Jersey,-74.2134631,40.7298318,,,,,,,,,,,,,,,1.0986122886681098,1.3862943611198906,2,7
13,10,2014-01-25,600 block of Covenant Drive Belle Glade Florida,0.4828313737302301,0,4,Belle Glade,Florida,-80.67388869999998,26.686847399999998,,,,,,,,,,,,,,,0.0,1.6094379124341005,6,0
14,10,2014-01-25,S Union Ave and W 51st St Chicago Illinois,0.9680344001221916,1,4,Chicago,Illinois,-87.64290229999996,41.801615500000004,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,3,7
15,11,2014-01-27,2nd Avenue South and South Main Street Seattle Washington,0.9680344001221916,1,4,Seattle,Washington,-122.331176,47.599790899999995,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,3,7
16,11,2014-01-27,821 Word Plaza Rocky Mount North Carolina,0.4828313737302301,0,4,Rocky Mount,North Carolina,-77.81895290000001,35.9690182,,,,,,,,,,,,,,,0.0,1.6094379124341005,4,0
17,12,2014-02-03,2100 block of Bridlewood Dr Franklin Indiana,1.2999897393843562,3,2,Franklin,Indiana,-86.0450037,39.5006693,,,,,,,,,,,,,,,1.3862943611198906,1.0986122886681098,0,12
18,13,2014-02-05,6740 N Clark St Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.6731401,42.0048278,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,6,5
19,14,2014-02-06,4600 block of Downman Road New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.02180659999998,30.016335499999997,,,,,,,,,,,,,,,0.0,1.6094379124341005,5,0
20,15,2014-02-07,Northwest 41st Street and 9th Avenue  Miami Florida,0.5375278407684164,0,5,Miami,Florida,-73.99308789999998,40.7578531,,,,,,,,,,,,,,,0.0,1.791759469228055,5,1
21,16,2014-02-12,37th and International  Oakland California,0.9010913347279288,1,3,Oakland,California,-122.22086750000001,37.77524710000001,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,4
22,16,2014-02-12,Constitution Park Stockton California,0.9010913347279288,1,3,Stockton,California,-121.2774788,37.9595498,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,4
23,16,2014-02-12,2220 block of Broadway Gary Indiana,0.5375278407684164,0,5,Gary,Indiana,-87.33714289999998,41.57809640000001,,,,,,,,,,,,,,,0.0,1.791759469228055,4,2
24,17,2014-02-15,Sahara and Maryland  Las Vegas Nevada,0.5375278407684164,0,5,Las Vegas,Nevada,-115.1371011,36.1443428,,,,,,,,,,,,,,,0.0,1.791759469228055,5,2
25,18,2014-02-16,1187 S. Edgewood Ave. Jacksonville Florida,0.9680344001221916,1,4,Jacksonville,Florida,-81.7134144,30.3084697,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,1,4
26,18,2014-02-16, 115 NW 25th St. Fort Worth Texas,0.9680344001221916,1,4,Fort Worth,Texas,-97.3499256,32.7897485,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,1,4
27,18,2014-02-16,Lafayette Street and East Tillman Road Fort Wayne Indiana,0.5375278407684164,0,5,Fort Wayne,Indiana,-85.1193708,41.0171871,,,,,,,,,,,,,,,0.0,1.791759469228055,4,2
28,18,2014-02-16,2600 block of South Harwood Street Dallas Texas,1.1090354888959124,1,7,Dallas,Texas,-96.7790179,32.767340000000004,,,,,,,,,,,,,,,0.6931471805599453,2.079441541679836,1,5
29,18,2014-02-16,4500 block of Charlene Terrace Orlando (Pine Hills) Florida,1.0689760711085556,1,6,Orlando (Pine Hills),Florida,-81.4534046,28.5577794,,,,,,,,,,,,,,,0.6931471805599453,1.9459101490553128,1,5
30,19,2014-02-20,300 W 1st St Alturas California,1.456190225304303,4,2,Alturas,California,-120.5452488,41.48394520000001,Alturas tribal shooting,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",44,Unknown,-,Unknown,-,Two handguns and a butcher knife,9mm semi-automatic handgun,Native American,Female,-,http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/Alturas-tribal-shooting-Was-embezzlement-eviction-behind-family-revenge-video; http://www.cbsnews.com/news/4-dead-2-injured-at-american-indian-tribal-office-in-northern-california/; http://nativenewsonline.net/currents/former-tribal-chairperson-custody-mass-murder-cedarville-rancheria-tribal-headquarters/,Spree,1.6094379124341005,1.0986122886681098,0,9
31,19,2014-02-20,3400 block of South Parker Indianapolis Indiana,1.1266065387038702,4,0,Indianapolis,Indiana,-86.1139417,39.7170274,,,,,,,,,,,,,,,1.6094379124341005,0.0,0,6
32,20,2014-02-22,1200 block of W Papeete St Wilmington California,0.4828313737302301,0,4,Wilmington,California,-118.27787260000001,33.7868812,,,,,,,,,,,,,,,0.0,1.6094379124341005,12,0
