ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,p_class,lonlat
29,18,2014-02-16,4500 block of Charlene Terrace Orlando (Pine Hills) Florida,1.0689760711085556,1,6,Orlando (Pine Hills),Florida,-81.4534046,28.5577794,0.6931471805599453,1.9459101490553128,3,"[-81.4534046, 28.5577794]"
30,19,2014-02-20,300 W 1st St Alturas California,1.456190225304303,4,2,Alturas,California,-120.5452488,41.48394520000001,1.6094379124341005,1.0986122886681098,3,"[-120.5452488, 41.48394520000001]"
31,19,2014-02-20,3400 block of South Parker Indianapolis Indiana,1.1266065387038702,4,0,Indianapolis,Indiana,-86.1139417,39.7170274,1.6094379124341005,0.0,3,"[-86.1139417, 39.7170274]"
32,20,2014-02-22,1200 block of W Papeete St Wilmington California,0.4828313737302301,0,4,Wilmington,California,-118.27787260000001,33.7868812,0.0,1.6094379124341005,1,"[-118.27787260000001, 33.7868812]"
33,21,2014-02-25,33325 Graceland Ln Glade Spring Virginia,1.3345506928718538,4,1,Glade Spring,Virginia,-81.78587639999998,36.7840021,1.6094379124341005,0.6931471805599453,3,"[-81.78587639999998, 36.7840021]"
34,22,2014-03-01,7800 Gratiot Av. Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.01477849999998,42.3779806,0.0,1.6094379124341005,1,"[-83.01477849999998, 42.3779806]"
35,22,2014-03-01,Hamilton Avenue Pittsburgh Pennsylvania,0.9680344001221916,1,4,Pittsburgh,Pennsylvania,-79.9007297,40.45535539999999,0.6931471805599453,1.6094379124341005,2,"[-79.9007297, 40.45535539999999]"
36,23,2014-03-05,Law Street Pelzer South Carolina,1.2999897393843562,3,2,Pelzer,South Carolina,-82.45249,34.6390534,1.3862943611198906,1.0986122886681098,3,"[-82.45249, 34.6390534]"
37,24,2014-03-08,4900 West Race Ave Chicago Illinois,0.583773044716594,0,6,Chicago,Illinois,-87.74830899999998,41.890715,0.0,1.9459101490553128,2,"[-87.74830899999998, 41.890715]"
38,24,2014-03-08,1600 block of First Street Richmond California,0.9010913347279288,1,3,Richmond,California,-122.368475,37.956275,0.6931471805599453,1.3862943611198906,2,"[-122.368475, 37.956275]"
39,25,2014-03-09, 4900 block of West Race Avenue Austin Texas,0.583773044716594,0,6,Austin,Texas,-87.74830899999998,41.890715,0.0,1.9459101490553128,2,"[-87.74830899999998, 41.890715]"
40,25,2014-03-09,531 W State St Fremont Ohio,1.178350206951907,3,1,Fremont,Ohio,-83.11653199999998,41.348378000000004,1.3862943611198906,0.6931471805599453,3,"[-83.11653199999998, 41.348378000000004]"
41,26,2014-03-14,S. Second and Roebling Sts Brooklyn New York,0.4828313737302301,0,4,Brooklyn,New York,-73.95906149999998,40.7121669,0.0,1.6094379124341005,1,"[-73.95906149999998, 40.7121669]"
42,27,2014-03-16,4960 Highway 80 West  Waynesboro Georgia,0.4828313737302301,0,4,Waynesboro,Georgia,-81.84742740000002,33.209855,0.0,1.6094379124341005,1,"[-81.84742740000002, 33.209855]"
43,27,2014-03-16,S 4th St Beaumont Texas,1.178350206951907,3,1,Beaumont,Texas,-94.11556429999999,30.058844300000004,1.3862943611198906,0.6931471805599453,3,"[-94.11556429999999, 30.058844300000004]"
44,28,2014-03-21,7550 Dorchester Road North Charleston South Carolina,0.4828313737302301,0,4,North Charleston,South Carolina,-80.0787343,32.9035946,0.0,1.6094379124341005,1,"[-80.0787343, 32.9035946]"
45,29,2014-03-23,601 Long Beach Boulevard Long Beach California,0.9010913347279288,1,3,Long Beach,California,-118.1897511,33.7743901,0.6931471805599453,1.3862943611198906,2,"[-118.1897511, 33.7743901]"
46,29,2014-03-23,Turk and Taylor San Francisco California,0.6238324625039507,0,7,San Francisco,California,-122.4107884,37.7832352,0.0,2.079441541679836,2,"[-122.4107884, 37.7832352]"
47,29,2014-03-23,2700 Majesty Drive Arlington Texas,0.9010913347279288,1,3,Arlington,Texas,-97.0613775,32.754806800000004,0.6931471805599453,1.3862943611198906,2,"[-97.0613775, 32.754806800000004]"
48,30,2014-03-30,,0.5375278407684164,0,5,Starkville,Mississippi,-84.389488,33.791638,0.0,1.791759469228055,2,"[-84.389488, 33.791638]"
49,30,2014-03-30,4300 Sunset Road Charlotte North Carolina,0.5375278407684164,0,5,Charlotte,North Carolina,-80.8562731,35.3049935,0.0,1.791759469228055,2,"[-80.8562731, 35.3049935]"
50,31,2014-04-02,Motor Pool Road and Tank Destroyer Boulevard Fort Hood Texas,1.9765705419207351,4,16,Fort Hood,Texas,-97.79444690000001,31.1329784,1.6094379124341005,2.8332133440562166,4,"[-97.79444690000001, 31.1329784]"
51,32,2014-04-05,Orchid Street  Fairfield California,0.4828313737302301,0,4,Fairfield,California,-122.036953,38.278664,0.0,1.6094379124341005,1,"[-122.036953, 38.278664]"
52,32,2014-04-05,5400 block of W Palm Ln Phoenix Arizona,0.9010913347279288,1,3,Phoenix,Arizona,-112.17568670000001,33.469846399999994,0.6931471805599453,1.3862943611198906,2,"[-112.17568670000001, 33.469846399999994]"
53,32,2014-04-05,4300 W Wilcox Street Chicago Illinois,1.0227308671603779,1,5,Chicago,Illinois,-87.733109,41.879032,0.6931471805599453,1.791759469228055,3,"[-87.733109, 41.879032]"
54,33,2014-04-06,Northwest 29th Street and Portland Avenue Oklahoma City Oklahoma,0.4828313737302301,0,4,Oklahoma City,Oklahoma,-97.58336700000001,35.4987478,0.0,1.6094379124341005,1,"[-97.58336700000001, 35.4987478]"
55,33,2014-04-06,90 Worthington St. Springfield Massachusetts,0.4828313737302301,0,4,Springfield,Massachusetts,-72.5937223,42.10316410000001,0.0,1.6094379124341005,1,"[-72.5937223, 42.10316410000001]"
56,34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1071864,29.973227299999998,0.0,1.6094379124341005,1,"[-90.1071864, 29.973227299999998]"
57,35,2014-04-09,Kellys Ferry Road and Kellys Ferry Place Lookout Valley Tennessee,1.178350206951907,3,1,Lookout Valley,Tennessee,-85.3877316,35.0246925,1.3862943611198906,0.6931471805599453,3,"[-85.3877316, 35.0246925]"
58,35,2014-04-09,300 N Sunset Ave Rockford Illinois,0.5375278407684164,0,5,Rockford,Illinois,-89.1183927,42.2787689,0.0,1.791759469228055,2,"[-89.1183927, 42.2787689]"
59,36,2014-04-11,North 15th and H Streets Richmond Indiana,0.4828313737302301,0,4,Richmond,Indiana,-84.88160599999998,39.838645,0.0,1.6094379124341005,1,"[-84.88160599999998, 39.838645]"
60,37,2014-04-12,2100 block of Pauger Street New Orleans Louisiana,0.9010913347279288,1,3,New Orleans,Louisiana,-90.0607641,29.971501899999996,0.6931471805599453,1.3862943611198906,2,"[-90.0607641, 29.971501899999996]"
61,38,2014-04-14,1909 19th St SE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.9773537,38.868239100000004,0.0,1.6094379124341005,1,"[-76.9773537, 38.868239100000004]"
62,39,2014-04-20,6600 South Michigan Ave Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.62309909999998,41.774825,0.0,1.791759469228055,2,"[-87.62309909999998, 41.774825]"
63,39,2014-04-20,2902 N. 32nd St. Tampa Florida,1.0986122886681096,2,2,Tampa,Florida,-82.4252178,27.9693738,1.0986122886681098,1.0986122886681098,3,"[-82.4252178, 27.9693738]"
64,39,2014-04-20,1300 block of Jackson St Montgomery Illinois,0.583773044716594,0,6,Montgomery,Illinois,-88.31043170000002,41.7302378,0.0,1.9459101490553128,2,"[-88.31043170000002, 41.7302378]"
65,40,2014-04-22,6419 Brynhurst Avenue Los Angeles California,0.9010913347279288,1,3,Los Angeles,California,-118.3342778,33.981092700000005,0.6931471805599453,1.3862943611198906,2,"[-118.3342778, 33.981092700000005]"
66,41,2014-04-25,2000 Chelsea Avenue Memphis Tennessee,1.184916910403644,2,3,Memphis,Tennessee,-89.9906671,35.173437299999996,1.0986122886681098,1.3862943611198906,3,"[-89.9906671, 35.173437299999996]"
67,42,2014-04-27,Fourth Street Troy New York,0.5375278407684164,0,5,Troy,New York,-73.6911982,42.721338700000004,0.0,1.791759469228055,2,"[-73.6911982, 42.721338700000004]"
68,43,2014-04-29,1675 Airport Road Kennesaw Georgia,1.0689760711085556,1,6,Kennesaw,Georgia,-84.6019546,34.0087685,0.6931471805599453,1.9459101490553128,3,"[-84.6019546, 34.0087685]"
69,44,2014-04-30,7200 South Phillips Avenue Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.56576740000001,41.7644081,0.0,1.6094379124341005,1,"[-87.56576740000001, 41.7644081]"
70,45,2014-05-03,2201 Moore Rd Jonesboro Arkansas,1.6094379124341005,4,4,Jonesboro,Arkansas,-90.6155684,35.81834310000001,1.6094379124341005,1.6094379124341005,4,"[-90.6155684, 35.81834310000001]"
71,46,2014-05-04,12100 W 44th Wheat Ridge Colorado,0.4828313737302301,0,4,Wheat Ridge,Colorado,-105.1342557,39.77748629999999,0.0,1.6094379124341005,1,"[-105.1342557, 39.77748629999999]"
72,46,2014-05-04,500 West Erie Street Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.64144089999998,41.89389439999999,0.6931471805599453,1.3862943611198906,2,"[-87.64144089999998, 41.89389439999999]"
73,47,2014-05-10,Shamrock Dr Decatur Georgia,1.184916910403644,2,3,Decatur,Georgia,-84.2573284,33.730861700000005,1.0986122886681098,1.3862943611198906,3,"[-84.2573284, 33.730861700000005]"
74,47,2014-05-10,1100 To Lani Farm Road Stone Mountain Georgia,0.9010913347279288,1,3,Stone Mountain,Georgia,-84.2056446,33.7621635,0.6931471805599453,1.3862943611198906,2,"[-84.2056446, 33.7621635]"
75,47,2014-05-10,3031 Guadalajara Way Sacramento California,1.0689760711085556,1,6,Sacramento,California,-121.52484550000001,38.6240965,0.6931471805599453,1.9459101490553128,3,"[-121.52484550000001, 38.6240965]"
