ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured
17,12,2014-02-03,2100 block of Bridlewood Dr Franklin Indiana,1.2999897393843562,3,2,Franklin,Indiana,-86.0450037,39.5006693,1.3862943611198906,1.0986122886681098
18,13,2014-02-05,6740 N Clark St Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.6731401,42.0048278,0.6931471805599453,1.3862943611198906
19,14,2014-02-06,4600 block of Downman Road New Orleans Louisiana,0.48283137373023005,0,4,New Orleans,Louisiana,-90.02180659999998,30.0163355,0.0,1.6094379124341003
20,15,2014-02-07,Northwest 41st Street and 9th Avenue  Miami Florida,0.5375278407684164,0,5,Miami,Florida,-73.99308789999998,40.7578531,0.0,1.791759469228055
21,16,2014-02-12,37th and International  Oakland California,0.9010913347279288,1,3,Oakland,California,-122.2208675,37.77524710000001,0.6931471805599453,1.3862943611198906
22,16,2014-02-12,Constitution Park Stockton California,0.9010913347279288,1,3,Stockton,California,-121.2774788,37.9595498,0.6931471805599453,1.3862943611198906
23,16,2014-02-12,2220 block of Broadway Gary Indiana,0.5375278407684164,0,5,Gary,Indiana,-87.33714289999998,41.57809640000001,0.0,1.791759469228055
24,17,2014-02-15,Sahara and Maryland  Las Vegas Nevada,0.5375278407684164,0,5,Las Vegas,Nevada,-115.1371011,36.1443428,0.0,1.791759469228055
25,18,2014-02-16,1187 S. Edgewood Ave. Jacksonville Florida,0.9680344001221917,1,4,Jacksonville,Florida,-81.7134144,30.3084697,0.6931471805599453,1.6094379124341003
26,18,2014-02-16, 115 NW 25th St. Fort Worth Texas,0.9680344001221917,1,4,Fort Worth,Texas,-97.34992559999999,32.7897485,0.6931471805599453,1.6094379124341003
27,18,2014-02-16,Lafayette Street and East Tillman Road Fort Wayne Indiana,0.5375278407684164,0,5,Fort Wayne,Indiana,-85.1193708,41.0171871,0.0,1.791759469228055
28,18,2014-02-16,2600 block of South Harwood Street Dallas Texas,1.1090354888959124,1,7,Dallas,Texas,-96.7790179,32.767340000000004,0.6931471805599453,2.0794415416798357
29,18,2014-02-16,4500 block of Charlene Terrace Orlando (Pine Hills) Florida,1.0689760711085556,1,6,Orlando (Pine Hills),Florida,-81.4534046,28.5577794,0.6931471805599453,1.9459101490553132
